state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population,all sectors,commercial,industrial,residential
KS,2013-06-01,2677217.664,0.0,1375.266,842579.0,4383.745,0.0,817002.578,2882784,9.476590909090909,9.364772727272728,7.1656818181818185,11.358863636363635
KS,2013-07-01,3305408.73,0.0,1336.318,882785.0,6004.595,0.0,634060.21,2883491,9.588409090909089,9.336818181818181,7.2309090909090905,11.33090909090909
KS,2013-08-01,3221281.408,0.0,1628.979,883930.0,5546.821,0.0,597171.779,2884197,9.5325,9.290227272727273,7.202954545454546,11.321590909090908
KS,2013-09-01,2881707.616,0.0,1437.635,292148.0,5026.288,0.0,863821.937,2884903,9.252954545454545,9.075909090909091,7.100454545454545,11.032727272727271
KS,2013-10-01,2275694.378,0.0,1036.413,582132.0,5050.523,0.0,993147.281,2885610,8.787045454545455,8.954772727272726,6.61590909090909,10.92090909090909
KS,2013-11-01,2208143.444,0.0,949.472,874919.0,4962.025,0.0,844655.1950000001,2886316,8.656590909090907,8.712499999999999,6.61590909090909,10.70659090909091
KS,2013-12-01,2670806.004,0.0,915.447,904486.0,4860.833000000001,0.0,724260.648,2887022,8.693863636363636,8.684545454545454,6.727727272727272,10.175454545454544
KY,2013-01-01,7924704.262,0.0,307494.171,0.0,24414.48,0.0,0.0,4390694,6.848863636363635,8.172045454545454,4.985227272727272,8.693863636363636
KY,2013-02-01,7370174.825,0.0,289604.858,0.0,26997.457,0.0,0.0,4392082,6.932727272727273,8.162727272727272,5.087727272727272,8.852272727272727
KY,2013-03-01,8199708.9,0.0,322537.759,0.0,30563.41,0.0,0.0,4393469,6.848863636363635,8.358409090909092,5.022499999999999,8.76840909090909
KY,2013-04-01,5898259.887,0.0,290667.335,0.0,26793.87,0.0,0.0,4394856,6.746363636363636,8.377045454545454,4.892045454545454,9.280909090909091
KY,2013-05-01,6327209.497,0.0,301825.916,0.0,26257.571,0.0,0.0,4396243,6.988636363636363,8.5075,5.087727272727272,9.541818181818181
KY,2013-06-01,7069158.102,0.0,238979.343,0.0,23129.234,0.0,0.0,4397631,7.370681818181818,7.529090909090908,5.702727272727272,9.439318181818182
KY,2013-07-01,7515796.548,0.0,323452.056,0.0,22955.859,0.0,0.0,4399018,7.594318181818181,7.454545454545454,5.870454545454545,9.448636363636364
KY,2013-08-01,7939822.94,0.0,281409.675,0.0,42509.707,0.0,0.0,4400405,7.454545454545454,7.417272727272727,5.777272727272727,9.280909090909091
KY,2013-09-01,7076360.813,0.0,200724.818,0.0,8470.535,0.0,0.0,4401792,7.510454545454546,7.845909090909091,5.702727272727272,9.355454545454544
KY,2013-10-01,6674138.888,0.0,180497.936,0.0,21125.432,0.0,0.0,4403180,7.1656818181818185,8.218636363636364,5.18090909090909,9.243636363636362
KY,2013-11-01,6321977.347,0.0,170617.912,0.0,41697.641,0.0,0.0,4404567,7.202954545454546,8.209318181818182,5.264772727272727,9.02
KY,2013-12-01,7813229.915,0.0,367402.221,0.0,40350.242,0.0,0.0,4405954,7.389318181818181,8.255909090909089,5.292727272727272,8.87090909090909
LA,2013-01-01,6780430.731,0.0,86731.0,958577.0,286783.031,0.0,0.0,4571724,7.202954545454546,8.246590909090909,5.348636363636364,8.274545454545455
LA,2013-02-01,5594270.037,0.0,103346.0,1146064.0,283348.292,0.0,0.0,4572760,7.3334090909090905,8.470227272727271,5.441818181818181,8.544772727272727
LA,2013-03-01,6203948.296,0.0,106707.0,1095599.0,286431.527,0.0,0.0,4573797,7.454545454545454,8.516818181818183,5.656136363636364,8.56340909090909
